index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 2, 13, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.5972222222222222,0.0,0.0,1.0,false,6.003039542893148,1.0446145610446619e6,38.1247635483696,1.2809600561901593,7,5.530849352950599,9.471934648018005,25.14600000000001,10.189963459248153,41.420083959617145,31.24200000000001,0.0,50.26028537847733,2.013049986728498e7
"(1, 9, 8, 10, 2, 14, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.6333333333333333,0.0,0.0,1.0,false,6.080507179320928,1.0540594298547278e6,38.638032771309724,1.2971099250220235,7,7.0567035504330455,9.511887536346388,25.14600000000001,10.290344128128238,41.606634410955905,31.24200000000001,0.0,50.39032245229205,2.038484463707444e7
"(1, 9, 8, 10, 2, 15, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.6694444444444444,0.0,0.0,1.0,false,6.179229913330198,1.0662350599197373e6,39.303032183394805,1.3176966399237928,7,9.127508792322375,9.563125332449351,25.14600000000001,10.414595282884761,41.84587703867401,31.24200000000001,0.0,50.55610630326621,2.070901235521873e7
"(1, 9, 8, 10, 2, 16, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.7055555555555556,0.0,0.0,1.0,false,6.308726323299003,1.0824308293990877e6,40.19338746217048,1.3447099453650435,7,12.041063997878503,9.630824434844987,25.14600000000001,10.572194048716108,42.161981796941575,31.24200000000001,0.0,50.773678415445566,2.1134387384318423e7
"(1, 9, 8, 10, 2, 17, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.7416666666666667,0.0,0.0,1.0,false,6.485335403221803,1.1049059405408474e6,41.43982348239476,1.3815685431877394,7,16.34049737877773,9.723929805484838,25.14600000000001,10.778851628660483,42.596715045065395,31.24200000000001,0.0,51.07060760452348,2.1714725950126253e7
"(1, 9, 8, 10, 2, 18, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.7777777777777778,0.0,0.0,1.0,false,6.740231974206521,1.1381250193219506e6,43.30502764569249,1.4348022790330917,7,23.118283578818215,9.859811437089586,25.14600000000001,11.06338450893763,43.231181807422196,31.24200000000001,0.0,51.49956651380151,2.255253147635471e7
"(1, 9, 8, 10, 2, 19, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.8138888888888889,0.0,0.0,1.0,false,7.139442609829425,1.1917995764177784e6,46.37578248298986,1.5182522968829755,7,34.88721023532597,10.075215227616532,25.14600000000001,11.483936571106506,44.23695826124451,31.24200000000001,0.0,52.172247754199084,2.3865137894383226e7
"(1, 9, 8, 10, 2, 20, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.85,0.0,0.0,1.0,false,7.856347962593627,1.2925814522086256e6,52.327391361600334,1.6683542441221035,7,58.810808781203924,10.46689601882423,25.14600000000001,12.184171539986515,46.06581798672792,31.24200000000001,0.0,53.382810123771286,2.6223589822090846e7
"(1, 9, 8, 10, 3, 1, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,6,0.2,0.0,0.0,1.0,false,5.684900810574478,1.0044760336748466e6,35.96349401083791,1.2143715484393496,7,0.2564218240272582,9.300126883287083,25.14600000000001,9.508021789662038,40.617868715737366,31.24200000000001,0.0,49.724293580113944,1.2723932741207821e7
"(1, 9, 8, 10, 3, 2, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,6,0.2361111111111111,0.0,0.0,1.0,false,5.695163870916345,1.0056149876651252e6,36.024095090838514,1.2164993963918849,7,0.3673248471156078,9.305052426242336,25.14600000000001,9.521439265926075,40.64086735988639,31.24200000000001,0.0,49.74141673457324,1.2746348002794549e7
