index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length
"(1, 9, 8, 10, 3, 2, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.2361111111111111,0.0,0.0,1.0,false,4.741823039285092,753054.4438203038,23.478316444342727,1.0139386932608017,7,0.2806938976881854,8.138077937129152,25.14600000000001,8.414046709847165,35.19195923951355,31.24200000000001,0.0,48.11308220640475
"(1, 9, 8, 10, 3, 3, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.2722222222222222,0.0,0.0,1.0,false,4.752118983205085,754108.9855898771,23.526990424655814,1.0160739476571723,7,0.3854867548155382,8.143341195540842,25.14600000000001,8.428642293984538,35.21653476517125,31.24200000000001,0.0,48.130225484026646
"(1, 9, 8, 10, 3, 4, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.3,0.0,0.0,1.0,false,4.761403880346234,755061.7440805695,23.57099465518422,1.0179995378542737,7,0.4818605233233811,8.1480932264241,25.14600000000001,8.44172055655414,35.23872323622148,31.24200000000001,0.0,48.14568590367251
"(1, 9, 8, 10, 3, 5, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.30833333333333335,0.0,0.0,1.0,false,4.764440748483799,755373.7303185693,23.585409912457973,1.0186293553512915,7,0.5137629151174657,8.149648642395851,25.14600000000001,8.445981230810313,35.24598587889114,31.24200000000001,0.0,48.15074275737452
"(1, 9, 8, 10, 3, 6, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.34444444444444444,0.0,0.0,1.0,false,4.779069366679911,756879.0454492336,23.65500300776791,1.0216632099717105,7,0.6700325118335038,8.157148840014036,25.14600000000001,8.466391174989395,35.28100625687489,31.24200000000001,0.0,48.175102472314755
"(1, 9, 8, 10, 3, 7, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.38055555555555554,0.0,0.0,1.0,false,4.796365622794534,758664.100282667,23.737615467548494,1.0252503952904226,7,0.860252224754434,8.166033001140377,25.14600000000001,8.490287930213603,35.32248872127803,31.24200000000001,0.0,48.20390644339252
"(1, 9, 8, 10, 3, 8, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.4166666666666667,0.0,0.0,1.0,false,4.816797361525835,760780.1282728629,23.835666927075835,1.0294892757595024,7,1.0923639476717109,8.17655063767235,25.14600000000001,8.518203556791143,35.37159830819775,31.24200000000001,0.0,48.237945257552376
"(1, 9, 8, 10, 3, 9, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.4527777777777778,0.0,0.0,1.0,false,4.840971571368459,763293.6319762983,23.95230764861704,1.0345049137842266,7,1.377094746361591,8.189024605084954,25.14600000000001,8.550819025271666,35.42984251401536,31.24200000000001,0.0,48.27822422131974
"(1, 9, 8, 10, 3, 10, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.4888888888888889,0.0,0.0,1.0,false,4.869692678083474,766293.4672390309,24.09176003135856,1.0404639951559744,7,1.7291791112142996,8.203884845428854,25.14600000000001,8.589022636802305,35.49922885025146,31.24200000000001,0.0,48.32608338706468
"(1, 9, 8, 10, 3, 11, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,6,0.525,0.0,0.0,1.0,false,4.904044075327808,769900.2531602429,24.259777399675674,1.0475913163179593,7,2.1692734595992844,8.221712683352635,25.14600000000001,8.633990369267043,35.582471673241876,31.24200000000001,0.0,48.38333024174309
