index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle
"(1, 1, 1, 1, 4, 20, 1, 1)",nacelle,2.54,10.1,1.0,8,0.9,500000.0,0.0,8.482304016467657,1.2019473588043717e6,46.95815098294901,1.7901462082379143,7,91.99325188611843
"(2, 1, 1, 1, 1, 1, 1, 1)",wing,2.54,6.0,0.75,2,0.3,500000.0,0.0,5.601723848678978,747914.0942412263,23.87924490767407,1.1708490708296206,7,1.05896698020892
"(2, 1, 1, 2, 1, 1, 1, 1)",wing,2.54,6.0,0.7763157894736842,2,0.3,500000.0,0.0,5.584872608017761,743363.5395967921,24.615424830535947,1.1672084461135648,7,1.0542643968823235
"(2, 1, 1, 3, 1, 1, 1, 1)",wing,2.54,6.0,0.8026315789473685,2,0.3,500000.0,0.0,5.570181626512585,739281.027303875,25.354535103850836,1.1641432148053994,7,1.0501694182798404
"(2, 1, 1, 4, 1, 1, 1, 1)",wing,2.54,6.0,0.8289473684210527,2,0.3,500000.0,0.0,5.557965508159107,735647.7961495714,26.098675656550196,1.161750658359986,7,1.0467663626779384
"(2, 1, 1, 5, 1, 1, 1, 1)",wing,2.54,6.0,0.8552631578947368,2,0.3,500000.0,0.0,5.549193883349118,732495.0345877438,26.85243703188371,1.160288928598056,7,1.0443205283825663
"(2, 1, 1, 6, 1, 1, 1, 1)",wing,2.54,6.0,0.881578947368421,2,0.3,500000.0,0.0,5.544942659475335,729864.3830619665,27.621132682453297,1.1600373944478122,7,1.0431265561553211
"(2, 1, 1, 7, 1, 1, 1, 1)",wing,2.54,6.0,0.9078947368421053,2,0.3,500000.0,0.0,5.54680959822296,727825.5294549491,28.411912903652727,1.1613501961601504,7,1.0436239694903735
"(2, 1, 1, 8, 1, 1, 1, 1)",wing,2.54,6.0,0.9342105263157895,2,0.3,500000.0,0.0,5.556906771024567,726474.5196829119,29.23393049093638,1.1646542182912092,7,1.046397023137475
"(2, 1, 1, 9, 1, 1, 1, 1)",wing,2.54,6.0,0.9605263157894737,2,0.3,500000.0,0.0,5.577361628256538,725910.2032711017,30.097171770434908,1.170381202033209,7,1.0520405442215328
"(2, 1, 1, 10, 1, 1, 1, 1)",wing,2.54,6.0,0.9868421052631579,2,0.3,500000.0,0.0,5.609614708152307,726198.3564384129,31.01025548202262,1.1788503114434234,7,1.0609698110661752
"(2, 1, 1, 11, 1, 1, 1, 1)",wing,2.54,6.0,1.013157894736842,2,0.3,500000.0,0.0,5.654277366799552,727352.2184051552,31.978922346009856,1.1901704447759682,7,1.0733826881025101
"(2, 1, 1, 12, 1, 1, 1, 1)",wing,2.54,6.0,1.0394736842105263,2,0.3,500000.0,0.0,5.712175543957721,729411.900896037,33.01085603720877,1.204565995427105,7,1.089550623526506
"(2, 1, 2, 1, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.75,2,0.3,500000.0,0.0,5.361766108993632,749422.237935845,22.360439683140953,1.1246845308874185,7,0.99321632008607
"(2, 1, 2, 2, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.7763157894736842,2,0.3,500000.0,0.0,5.341207978836768,743830.5801380638,23.030633218842674,1.1202392910316885,7,0.9876018626559719
"(2, 1, 2, 3, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.8026315789473685,2,0.3,500000.0,0.0,5.323302886779255,738835.9216346234,23.704598992910096,1.1164772767984514,7,0.9827195780386186
"(2, 1, 2, 4, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.8289473684210527,2,0.3,500000.0,0.0,5.308291389725725,734399.0867607107,24.384197368378246,1.1134788611429693,7,0.9786305129946272
"(2, 1, 2, 5, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.8552631578947368,2,0.3,500000.0,0.0,5.297100699288858,730537.0983654436,25.073759978273017,1.1114923225011666,7,0.9755813844030005
"(2, 1, 2, 6, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.881578947368421,2,0.3,500000.0,0.0,5.290777788508333,727280.2126457441,25.778316110863656,1.1107880857235273,7,0.9738511279765032
"(2, 1, 2, 7, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.9078947368421053,2,0.3,500000.0,0.0,5.290888194119464,724688.9672233022,26.50463798592898,1.1117122428018529,7,0.9738595278544684
"(2, 1, 2, 8, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.9342105263157895,2,0.3,500000.0,0.0,5.299497451017505,722851.1849897759,27.261348675742965,1.1146811011956572,7,0.9761640341437567
"(2, 1, 2, 9, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.9605263157894737,2,0.3,500000.0,0.0,5.318688144678683,721858.8567135179,28.057865530904962,1.1201181726891296,7,0.9813331277226178
"(2, 1, 2, 10, 1, 1, 1, 1)",wing,2.54,6.631578947368421,0.9868421052631579,2,0.3,500000.0,0.0,5.349840483173687,721769.8232657028,28.902207948446645,1.1283296502505866,7,0.9897561525499904
"(2, 1, 2, 11, 1, 1, 1, 1)",wing,2.54,6.631578947368421,1.013157894736842,2,0.3,500000.0,0.0,5.393525581174201,722593.3981024893,29.799872258784912,1.1394327693282207,7,1.0016162106041584
"(2, 1, 2, 12, 1, 1, 1, 1)",wing,2.54,6.631578947368421,1.0394736842105263,2,0.3,500000.0,0.0,5.45047775078376,724358.3203619893,30.75768849579773,1.153617884109412,7,1.0171547937733751
"(2, 1, 3, 1, 1, 1, 1, 1)",wing,2.54,7.2631578947368425,0.75,2,0.3,500000.0,0.0,5.1916129877001085,756779.0174806077,21.239060405203876,1.0925695347267115,7,0.947506530604535
