index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 1, 8, 10, 1, 4, 20, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,4.0,0.0,1.0,false,4.9775873461371845,789575.5261451171,25.21803814605302,1.066480832694676,7,0.8912312047123656,8.31999579139339,29.14600000000001,5.135896810615836,36.04138112712867
"(1, 2, 8, 10, 1, 4, 1, 7, 2, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,0.0,1.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 10, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,5.0,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 11, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,6.666666666666667,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 12, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,8.333333333333334,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 13, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,10.0,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 14, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,11.666666666666666,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 15, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,13.333333333333334,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 16, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,15.0,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 17, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,16.666666666666668,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 18, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,18.333333333333332,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 1, 19, 1, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.0,20.0,0.0,false,4.48987240240647,740136.7751557596,22.878995492873656,0.9672131865170531,6,0.7664496974853647,8.069457666555893,28.956000000000014,4.969196346229796,34.87155330687577
"(1, 2, 8, 10, 1, 4, 2, 7, 2, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.25,0.0,1.0,false,4.502654395352031,741878.7471712378,22.959895204461183,0.9700561612187607,6,0.7696423999011547,8.078308834355063,29.206000000000014,4.9750856446487,34.912881716832985
"(1, 2, 8, 10, 1, 4, 3, 7, 2, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.4583333333333333,0.0,1.0,false,4.513320065184046,743334.6949168562,23.027579776222545,0.9724283306799055,6,0.7723099038880628,8.08569834445132,29.414333333333346,4.98000240039368,34.947385265920566
"(1, 2, 8, 10, 1, 4, 4, 7, 2, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.6666666666666666,0.0,1.0,false,4.52399847100653,744794.5635975525,23.095509251488075,0.9748032435427906,6,0.7749837100412514,8.093100193196557,29.62266666666668,4.984927365901211,34.981946427376926
"(1, 2, 8, 10, 1, 4, 5, 7, 2, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,0.875,0.0,1.0,false,4.5346895924475685,746258.3543487971,23.163683686020555,0.9771808853645065,6,0.7776638047691897,8.100514295486393,29.831000000000014,4.989860484545421,35.01656480382752
"(1, 2, 8, 10, 1, 4, 6, 7, 2, 1)",fuselage,2.1025555555555555,10.1,1.0,2,0.3,1.0833333333333333,0.0,1.0,false,4.545393462464285,747726.0835214513,23.232105172701864,0.9795612654019267,6,0.7803502299502113,8.107940797398198,30.039333333333346,4.994801853521759,35.05124107734568
"(1, 3, 8, 10, 1, 4, 1, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,0.0,1.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 8, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,1.6666666666666667,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 9, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,3.3333333333333335,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 10, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,5.0,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 11, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,6.666666666666667,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 12, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,8.333333333333334,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 13, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,10.0,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 14, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,11.666666666666666,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 15, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,13.333333333333334,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 16, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,15.0,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 17, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,16.666666666666668,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 18, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,18.333333333333332,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 1, 19, 1, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.0,20.0,0.0,false,4.554823182743505,745735.4483613358,23.140936896449624,0.9803443352879684,6,0.782693992416769,8.09845359924183,28.956000000000014,4.988489359806821,35.006942875837346
"(1, 3, 8, 10, 1, 4, 2, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.25,0.0,1.0,false,4.567745061715852,747482.9313714772,23.222464814375716,0.9832170999857885,6,0.7859442679703621,8.107304647355644,29.206000000000014,4.99437857859072,35.048270726952424
"(1, 3, 8, 10, 1, 4, 3, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.4583333333333333,0.0,1.0,false,4.57852675944619,748943.3691515096,23.290669928241222,0.985613970492777,6,0.7886596750114132,8.114693583174539,29.414333333333346,4.999294952228973,35.08277159458929
"(1, 3, 8, 10, 1, 4, 4, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.6666666666666666,0.0,1.0,false,4.589320827364984,750407.6610629737,23.359117339072107,0.9880135272589208,6,0.7913813723404509,8.122094429680544,29.62266666666668,5.004219250876938,35.11732807632939
"(1, 3, 8, 10, 1, 4, 5, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,0.875,0.0,1.0,false,4.600127170052333,751875.7903428101,23.427806708172596,0.9904157214679468,6,0.7941093066827226,8.129507065042366,29.831000000000014,5.009151393471771,35.15193960331067
"(1, 3, 8, 10, 1, 4, 6, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,1.0833333333333333,0.0,1.0,false,4.610945802700972,753347.7673119206,23.496739798048544,0.9928205528059117,6,0.7968435058402432,8.136931600922004,30.039333333333346,5.0140914543099715,35.18660669691209
"(1, 3, 8, 10, 1, 4, 7, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,1.2916666666666667,0.0,1.0,false,4.62177677607344,754823.6086144834,23.565917455168524,0.9952280371057092,6,0.7995839984733495,8.144368040562318,30.24766666666668,5.019039435549248,35.22132937227543
"(1, 3, 8, 10, 1, 4, 8, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,1.5,0.0,1.0,false,4.632620054575799,756303.3124136552,23.63534053055267,0.9976381518549331,6,0.8023307756668203,8.151816393475434,30.456000000000014,5.023995343518674,35.25610767381526
"(1, 3, 8, 10, 1, 4, 9, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,1.7083333333333333,0.0,1.0,false,4.643475684152132,757786.8934410638,23.705009298220258,1.0000509109029612,6,0.8050838542628161,8.159276597555404,30.664333333333346,5.028959136894841,35.290941311542745
"(1, 3, 8, 10, 1, 4, 10, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,1.9166666666666667,0.0,1.0,false,4.6543436506659654,759274.354904148,23.774924786789683,1.0024663013602488,6,0.8078432372655383,8.166748680739058,30.87266666666668,5.033930834266066,35.32583041590222
"(1, 3, 8, 10, 1, 4, 11, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,2.125,0.0,1.0,false,4.665223995001158,760765.711228336,23.84508763067761,1.0048843349964598,6,0.8106089450519243,8.174232622077925,31.081000000000014,5.038910421693872,35.360774889079806
"(1, 3, 8, 10, 1, 4, 12, 7, 2, 1)",fuselage,2.173111111111111,10.1,1.0,2,0.3,2.3333333333333335,0.0,1.0,false,4.676116701219726,762260.9664136257,23.915499426034465,1.007304998087319,6,0.8133809888413842,8.181728512927174,31.289333333333346,5.043897959963217,35.39577515763661
"(1, 4, 8, 10, 1, 4, 1, 7, 2, 1)",fuselage,2.2436666666666665,10.1,1.0,2,0.3,0.0,0.0,1.0,false,4.624251150713203,752241.9419715405,23.446064863474774,0.9944164199288327,6,0.800187749084623,8.131893951615043,28.956000000000014,5.010739555354756,35.163084598980745
"(1, 4, 8, 10, 1, 4, 1, 6, 1, 1)",fuselage,2.2436666666666665,10.1,1.0,2,0.3,0.0,-1.6666666666666667,0.0,false,4.624251150713203,752241.9419715405,23.446064863474774,0.9944164199288327,6,0.800187749084623,8.131893951615043,28.956000000000014,5.010739555354756,35.163084598980745
"(1, 4, 8, 10, 1, 4, 1, 7, 1, 1)",fuselage,2.2436666666666665,10.1,1.0,2,0.3,0.0,0.0,0.0,false,4.624251150713203,752241.9419715405,23.446064863474774,0.9944164199288327,6,0.800187749084623,8.131893951615043,28.956000000000014,5.010739555354756,35.163084598980745
"(1, 4, 8, 10, 1, 4, 1, 8, 1, 1)",fuselage,2.2436666666666665,10.1,1.0,2,0.3,0.0,1.6666666666666667,0.0,false,4.624251150713203,752241.9419715405,23.446064863474774,0.9944164199288327,6,0.800187749084623,8.131893951615043,28.956000000000014,5.010739555354756,35.163084598980745
