index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles
"(1, 1, 1, 1, 1, 1, 18, 2)",fuselage,2.54,10.1,1.0,2,0.2,915789.4736842106,1.0,4.786934459784778,765055.8364505954,24.04893906325134,1.02468807242987,7,0.34523204942928676,8.198122039621632,26.22349941340259,5.0548057150789845
"(1, 1, 1, 1, 1, 1, 19, 1)",fuselage,2.54,10.1,1.0,2,0.2,957894.7368421053,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 19, 2)",fuselage,2.54,10.1,1.0,2,0.2,957894.7368421053,1.0,4.784347918403834,764719.9430380258,24.033002050831776,1.0241167634634156,7,0.3449588964037624,8.196435165694657,26.176136801824455,5.053683320364929
"(1, 1, 1, 1, 1, 1, 20, 1)",fuselage,2.54,10.1,1.0,2,0.2,1.0e6,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 20, 2)",fuselage,2.54,10.1,1.0,2,0.2,1.0e6,1.0,4.78197980076135,764412.4986503263,24.018417690793214,1.0235936897053983,7,0.3447088664975702,8.194890821661891,26.132762620695004,5.052655760716667
"(1, 2, 1, 1, 1, 1, 1, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,200000.0,0.0,5.553591265711029,760757.2272587132,24.48109578810108,1.16611521217531,6,0.4289531430073749,6.437007414325055,33.52800000000001,3.8830134935781495
"(1, 2, 1, 1, 1, 1, 1, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,200000.0,1.0,5.710394297636623,779894.3855876583,25.40306954571617,1.1992743730336832,6,0.44688263861258376,6.510451324101663,36.18187744068508,3.9318808421065543
"(1, 2, 1, 1, 1, 1, 2, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,242105.26315789475,0.0,5.553591265711029,760757.2272587132,24.48109578810108,1.16611521217531,6,0.4289531430073749,6.437007414325055,33.52800000000001,3.8830134935781495
"(1, 2, 1, 1, 1, 1, 2, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,242105.26315789475,1.0,5.635804932774755,770752.4623214158,24.96130125960105,1.1834989448322235,6,0.4383230157041734,6.475484751328454,34.92520310317463,3.9086151458255465
"(1, 2, 1, 1, 1, 1, 3, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,284210.5263157895,0.0,5.553591265711029,760757.2272587132,24.48109578810108,1.16611521217531,6,0.4289531430073749,6.437007414325055,33.52800000000001,3.8830134935781495
"(1, 2, 1, 1, 1, 1, 3, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,284210.5263157895,1.0,5.583697874401002,764406.711702687,24.656089356057144,1.1724804133874562,6,0.43237648590028277,6.451086537780729,34.04087671751913,3.892381315021419
"(1, 2, 1, 1, 1, 1, 4, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,326315.7894736842,0.0,5.553591265711029,760757.2272587132,24.48109578810108,1.16611521217531,6,0.4289531430073749,6.437007414325055,33.52800000000001,3.8830134935781495
"(1, 2, 1, 1, 1, 1, 4, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,326315.7894736842,1.0,5.545198217810777,759742.033697056,24.432486818477663,1.1643408918738731,6,0.42800042779165975,6.433084747622949,33.384763592677956,3.8804034702082664
"(1, 2, 1, 1, 1, 1, 5, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,368421.05263157893,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 5, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,368421.05263157893,1.0,5.515595671439342,756168.8896719728,24.261641154112162,1.1580832850625282,6,0.4246458445690451,6.419256613618917,32.87861918208619,3.87120264952854
"(1, 2, 1, 1, 1, 1, 6, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,410526.3157894737,0.0,5.553591265711029,760757.2272587132,24.48109578810108,1.16611521217531,6,0.4289531430073749,6.437007414325055,33.52800000000001,3.8830134935781495
"(1, 2, 1, 1, 1, 1, 6, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,410526.3157894737,1.0,5.492128767994942,753344.528148777,24.126864266511674,1.1531232318270086,6,0.42199287442201444,6.408302283143304,32.47629926597479,3.8639139704961285
"(1, 2, 1, 1, 1, 1, 7, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,452631.5789473684,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
